t,pCAMx,pCAMy,pCAMz,qCAMx,qCAMy,qCAMz,qCAMw,p1x,p1y,p1z,q1x,q1y,q1z,q1w,p2x,p2y,p2z,q2x,q2y,q2z,q2w,p3x,p3y,p3z,q3x,q3y,q3z,q3w,p4x,p4y,p4z,q4x,q4y,q4z,q4w,p5x,p5y,p5z,q5x,q5y,q5z,q5w,p6x,p6y,p6z,q6x,q6y,q6z,q6w,p7x,p7y,p7z,q7x,q7y,q7z,q7w,p8x,p8y,p8z,q8x,q8y,q8z,q8w,p9x,p9y,p9z,q9x,q9y,q9z,q9w,p10x,p10y,p10z,q10x,q10y,q10z,q10w,p11x,p11y,p11z,q11x,q11y,q11z,q11w,p12x,p12y,p12z,q12x,q12y,q12z,q12w,valid1,quality1,reason1,angle_jump1,pos_step1,valid2,quality2,reason2,angle_jump2,pos_step2,valid3,quality3,reason3,angle_jump3,pos_step3,valid4,quality4,reason4,angle_jump4,pos_step4,valid5,quality5,reason5,angle_jump5,pos_step5,valid6,quality6,reason6,angle_jump6,pos_step6,valid7,quality7,reason7,angle_jump7,pos_step7,valid8,quality8,reason8,angle_jump8,pos_step8,valid9,quality9,reason9,angle_jump9,pos_step9,valid10,quality10,reason10,angle_jump10,pos_step10,valid11,quality11,reason11,angle_jump11,pos_step11,valid12,quality12,reason12,angle_jump12,pos_step12
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.255516,0.372186,-0.013152,-0.02530460,0.01587566,0.89100950,0.45300078,-0.298368,0.389616,-0.000236,-0.05099958,-0.00796420,0.89137160,0.45032464,-0.348744,0.400933,0.016194,-0.01737235,0.00272248,0.89416247,0.44739722,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,first,,,1,1.000,first,,,1,1.000,first,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.008337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.267140,0.372306,0.000440,-0.01942427,0.01531582,0.89269842,0.44997516,-0.299234,0.394545,0.001678,-0.04654702,0.00545221,0.88421607,0.46472099,-0.340701,0.401999,0.006366,-0.20682306,-0.24115854,0.85109480,0.41797658,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.785,0.017885,1,1.000,accepted,2.453,0.005358,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.016674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.268520,0.374823,0.007518,-0.01506278,0.00858060,0.89146087,0.45276595,-0.313142,0.393415,0.017671,-0.39142488,-0.44120259,0.72779723,0.34991147,-0.332659,0.403066,-0.003461,-0.37598651,-0.46138433,0.72454332,0.34755665,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,voted,69.438,0.021225,1,1.000,voted,72.075,0.025487,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.025012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.269901,0.377341,0.014596,-0.01070018,0.00184474,0.89015760,0.45552337,-0.308236,0.383508,0.000017,-0.39449241,-0.45326931,0.72464793,0.33735448,-0.333275,0.402485,-0.002814,-0.21399044,-0.23578885,0.85084134,0.41794822,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,1.968,0.015276,1,1.000,accepted,2.058,0.020830,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.033349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.266850,0.377240,0.010517,-0.01204212,0.00644968,0.88976000,0.45622422,-0.300475,0.388758,0.002502,-0.04045565,0.00005195,0.89049599,0.45318896,-0.333891,0.401904,-0.002167,-0.03101427,0.01292388,0.89372100,0.44736323,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,voted,71.000,0.009694,1,1.000,voted,72.058,0.002131,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.041686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.263799,0.377138,0.006438,-0.01338384,0.01105469,0.88934132,0.45691430,-0.298665,0.388763,-0.000459,-0.03849272,0.00836959,0.89048506,0.45330411,-0.351440,0.399788,0.019837,-0.02647178,0.01097134,0.89368503,0.44777890,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,accepted,0.979,0.003470,1,1.000,accepted,0.569,0.028224,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.050023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.260748,0.377037,0.002360,-0.01472525,0.01565943,0.88890161,0.45759357,-0.297210,0.394437,-0.001573,-0.04461241,0.01363866,0.88425065,0.46467677,-0.329242,0.404311,-0.008241,-0.04039417,-0.00382219,0.89203975,0.45013196,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,accepted,1.751,0.005963,1,1.000,accepted,2.351,0.036077,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.058360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.257697,0.376936,-0.001719,-0.01606624,0.02026359,0.88844089,0.45826199,-0.301074,0.392805,0.002367,-0.04409560,0.00893389,0.88733889,0.45891769,-0.328917,0.403780,-0.009257,-0.03721277,0.00305692,0.88976755,0.45488412,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,2.229,0.020378,1,1.000,interpolated,,,1,1.000,accepted,1.058,0.001192,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.066698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.269199,0.377622,0.013417,-0.02098140,0.00240968,0.89188750,0.45176394,-0.304939,0.391173,0.006306,-0.04357588,0.00422822,0.89036956,0.45312836,-0.337517,0.400700,0.002727,-0.02005373,0.01892253,0.89028973,0.45455910,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,2.283,0.019023,1,1.000,interpolated,,,1,1.000,accepted,2.679,0.015069,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.075035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.263118,0.375005,0.001517,-0.02401105,0.00496118,0.89154810,0.45226192,-0.308803,0.389541,0.010246,-0.04305336,-0.00047741,0.89334206,0.44730990,-0.346551,0.401287,0.012238,-0.02510155,0.01217379,0.89552290,0.44414011,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,accepted,2.774,0.017264,1,1.000,accepted,1.649,0.013131,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.083372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.257037,0.372389,-0.010384,-0.02704032,0.00751261,0.89119438,0.45275264,-0.310867,0.394206,0.014514,-0.04236820,0.00558951,0.89106894,0.45185157,-0.344233,0.405590,0.014461,-0.02430776,0.01039456,0.89337126,0.44854082,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.918,0.027236,1,1.000,accepted,0.910,0.006651,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.091709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.260301,0.371430,-0.006054,-0.02653467,0.01473303,0.88902322,0.45685508,-0.304719,0.391664,0.006433,-0.23004048,-0.23091854,0.84772650,0.41847077,-0.341915,0.409894,0.016684,-0.02351330,0.00861504,0.89119479,0.45292907,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.985,0.005507,1,1.000,interpolated,,,1,1.000,accepted,1.208,0.010740,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.100046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.298571,0.389123,-0.001648,-0.39605449,-0.44568565,0.72457080,0.34569104,-0.351531,0.405968,0.020406,-0.38630329,-0.45499430,0.72041736,0.35319794,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,vote_mismatch,0.997,0.005530,1,1.000,voted,70.601,0.020934,1,1.000,voted,72.359,0.011033,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.108384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.301222,0.391113,0.002853,-0.23334420,-0.23074075,0.84518657,0.42186355,-0.341722,0.408021,0.012882,-0.21909631,-0.23883298,0.84536659,0.42463037,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,angle_jump,73.491,0.003967,1,1.000,interpolated,,,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.116721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.303874,0.393103,0.007354,-0.04892675,0.00566912,0.88717771,0.45879162,-0.331913,0.410074,0.005357,-0.03098780,0.00011271,0.88966887,0.45555357,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,angle_jump,72.258,0.010589,1,1.000,voted,70.175,0.011180,1,1.000,voted,71.072,0.025064,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.125058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.298341,0.389902,-0.001044,-0.05069848,-0.00817450,0.89147113,0.45015783,-0.335181,0.408864,0.010047,-0.02960055,0.00768783,0.88776161,0.45928643,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,angle_jump,72.954,0.030610,1,1.000,accepted,1.944,0.010554,1,1.000,accepted,1.005,0.005843,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
